NoC,Code,Name,Rain,Wind
1,310101,Huangpu,49.5272268607781,15.9158293922443
1,310101,Huangpu,32.1867518191852,17.0051466744383
1,310101,Huangpu,102.165522454503,22.0410526558724
1,310101,Huangpu,54.2274121520105,11.9613103567749
1,310101,Huangpu,40.3790048797861,12.5554335667472
1,310101,Huangpu,53.5333091447193,17.3525449333488
1,310101,Huangpu,30.2211315177631,11.5697149283439
1,310101,Huangpu,44.666459049168,17.3571797410759
1,310101,Huangpu,61.3388598311513,15.2005932951217
1,310101,Huangpu,59.6018734202637,11.8223452282255
1,310101,Huangpu,52.9260756536708,12.9456585080993
1,310101,Huangpu,39.2802588079064,14.5049535697279
1,310101,Huangpu,31.2456881397153,11.3164187386689
1,310101,Huangpu,30.6839211885487,18.3554977605345
1,310101,Huangpu,45.58407766785,19.2716782758034
1,310101,Huangpu,45.1250304215125,15.6360291878324
1,310101,Huangpu,33.4542060887677,16.7189958832927
1,310101,Huangpu,33.7755196186408,11.1720153265943
1,310101,Huangpu,41.0033388008753,11.5227898802842
1,310101,Huangpu,96.4397920807433,15.7819839517042
1,310101,Huangpu,36.8573115163712,13.7393648678773
1,310101,Huangpu,36.1192609808367,15.5016647401323
1,310101,Huangpu,30.7950839749651,11.3063439714683
1,310101,Huangpu,35.487245268644,13.8211033560936
1,310101,Huangpu,32.4669970549738,11.3633983450836
1,310101,Huangpu,43.6873250181822,13.4309352447042
1,310101,Huangpu,54.0938347388027,16.4888345696822
1,310101,Huangpu,30.3893599910739,10.1359712574691
1,310101,Huangpu,39.7339939535416,12.3060197388419
1,310101,Huangpu,56.6767356801809,12.606563724818
1,310101,Huangpu,153.78976276634,14.8275305723163
1,310101,Huangpu,43.1418860685548,10.0077164631225
1,310101,Huangpu,34.3699298472417,16.2396397098728
1,310101,Huangpu,30.2725736256452,16.4359698991553
1,310101,Huangpu,59.1953408097498,14.3160789874024
1,310101,Huangpu,39.0627660038474,25.4182379028831
1,310101,Huangpu,31.2703738722964,14.9275249061273
1,310101,Huangpu,30.8975910083397,16.9732686884323
1,310101,Huangpu,38.5358513123909,16.1745085427987
1,310101,Huangpu,56.7162446082366,15.7191654055995
1,310101,Huangpu,45.2379877754519,11.8841022636714
1,310101,Huangpu,44.2003254798244,18.807217524901
1,310101,Huangpu,77.1961934918309,16.9709491732492
1,310101,Huangpu,40.7177555684466,14.6568521173815
1,310101,Huangpu,41.5565142218818,13.1276363395077
1,310101,Huangpu,30.1275424448655,12.1339235882632
1,310101,Huangpu,42.0356006906608,11.3957500281471
1,310101,Huangpu,58.0826266583329,10.7699127972131
1,310101,Huangpu,67.2054821759796,13.884270669521
1,310101,Huangpu,62.1440201590917,11.3806249405509
1,310101,Huangpu,32.4974974439392,12.0351701688768
1,310101,Huangpu,60.2486989834561,12.205196023533
1,310101,Huangpu,65.5787070170385,13.2493299203006
1,310101,Huangpu,46.4678237386696,12.2660469534525
1,310101,Huangpu,49.9947272627448,12.9033074095421
1,310101,Huangpu,33.2273747083359,17.0997754817008
1,310101,Huangpu,37.2555051133998,14.5873572126374
1,310101,Huangpu,121.320944332337,13.4766715104136
1,310101,Huangpu,80.2049531731828,15.0011382013675
1,310101,Huangpu,49.3068190201856,12.1506828761458
1,310101,Huangpu,31.9835052125663,12.4919946405027
1,310101,Huangpu,43.694708892423,11.3556534180831
1,310101,Huangpu,114.952924914673,17.2431267470331
1,310101,Huangpu,40.766906819723,14.2760440137408
1,310101,Huangpu,33.2583268133877,15.7056103876018
1,310101,Huangpu,41.8045513115398,11.3075118954199
1,310101,Huangpu,38.9190396451912,10.1927965416347
1,310101,Huangpu,33.9300868277328,17.1224209761944
1,310101,Huangpu,39.1014538361916,11.8790349168672
1,310101,Huangpu,60.3280295505275,12.8547509247467
1,310101,Huangpu,51.7439898304519,10.0630505229588
1,310101,Huangpu,57.9586233695712,21.5332210100863
1,310101,Huangpu,37.6460372749241,10.2753380821663
1,310101,Huangpu,57.8714858249869,11.9950428076017
1,310101,Huangpu,72.4103569778245,13.7865079530778
1,310101,Huangpu,51.8198359726653,11.0055957330306
1,310101,Huangpu,40.4269852665638,16.0575071989899
1,310101,Huangpu,79.8910146171364,11.3174118091148
1,310101,Huangpu,32.3156281891705,14.5702754704079
1,310101,Huangpu,33.4758632466523,10.0573224705015
1,310101,Huangpu,55.6934832743086,17.6223893173265
1,310101,Huangpu,42.9848976055983,14.4633192493907
1,310101,Huangpu,43.7525000523486,12.8088433389491
1,310101,Huangpu,34.6046775310383,14.8607908467582
1,310101,Huangpu,57.8661921117429,12.7315560488013
1,310101,Huangpu,40.3966771641333,16.3649036537717
1,310101,Huangpu,45.5451860423932,14.3772907449141
1,310101,Huangpu,33.3959886122516,12.0090983470615
1,310101,Huangpu,47.063520387638,14.4492119013356
1,310101,Huangpu,42.096630806254,16.5738426462245
1,310101,Huangpu,43.3025327320429,13.3910813655674
1,310101,Huangpu,55.6110634559057,18.5083205374243
1,310101,Huangpu,30.929864308178,10.4072298707727
1,310101,Huangpu,35.24958527005,18.4571403909738
1,310101,Huangpu,53.0720745563345,12.3598656848227
1,310101,Huangpu,37.6085160880582,10.0423355257475
